filename,xmin,xmax,ymin,ymax,xcentre,ycentre,w,h
115WbJDuFNePtmmPPbfXCiS8xbEma.jpg,283,845,426,508,564.0,467.0,562,82
1167tlVRmziSI87CbfMU42Im6Mps5a.jpg,393,834,457,528,613.5,492.5,441,71
11E6V_Rkh9hp6xs9bRVsI21h2ZQUBf.jpg,336,802,438,513,569.0,475.5,466,75
12nOyH6Mqf3xsVh2pvoXJKdNFiHqZB5.jpg,383,870,441,517,626.5,479.0,487,76
12OfZfvTIhBltWQtFzU37bIZXbx77ea.jpg,375,1024,499,587,699.5,543.0,649,88
12vi4gniVq_YUOtGrQshd3Ecpfn_E8w.jpg,433,932,452,525,682.5,488.5,499,73
13P27vDBVRLgxNT9mFRgQIUWr9sV5U5.jpg,448,757,450,506,602.5,478.0,309,56
14JdLyrjsrNO47ML9fnV7iPM1D_d3T_.jpg,381,977,488,574,679.0,531.0,596,86
14NHVy8sttHaTvDaLCbfzXL8oeRIVq.jpg,350,850,449,538,600.0,493.5,500,89
14v9PKL4STbowQakMtkQOEY7khonG.jpg,427,774,457,520,600.5,488.5,347,63
157V2bJoGqWmqyzFcQrYKsc9QSxr4wT.jpg,309,758,435,503,533.5,469.0,449,68
15ae2eH2n19VrbPsNqPpvqIBCa68s.jpg,464,763,458,514,613.5,486.0,299,56
15Gupe6g4gEUWfyVSpdqfMrCkePFd85.jpg,449,934,443,517,691.5,480.0,485,74
15j9IrQJKhH8an22dEC6YS8DKLtTirj.jpg,540,860,468,529,700.0,498.5,320,61
15mQIsi27osR2MeuLeQyw3XUdxk_gj1.jpg,314,895,453,540,604.5,496.5,581,87
16Jt2w8wVPlfO5O1Msf3istKeybvyMqu.jpg,238,692,441,514,465.0,477.5,454,73
16_yb4K5Jq6_XYbvhgCE7_ELw3cnqs.jpg,266,936,516,605,601.0,560.5,670,89
17hcNLFWC9B4geZJrb6saHaBhhJH4xT7.jpg,443,864,452,515,653.5,483.5,421,63
17qe_efKR4uKEetK_cPJMl5DQrS2wL.jpg,422,930,453,528,676.0,490.5,508,75
186T7_JaDYVmqmj3qpQReCtLTianw7J.jpg,345,884,460,538,614.5,499.0,539,78
18b93l7oVa_r4rrDFzewjW9OKaIUmmXF.jpg,355,867,494,566,611.0,530.0,512,72
19aaXsMyN6feZ2YxBtUV7iG4LrJaYB.jpg,304,757,426,492,530.5,459.0,453,66
19MrQsKmIqanuv4BMREy2pa5HC8huL.jpg,354,755,430,491,554.5,460.5,401,61
19OrJYsLt7X8IlZVgxSR6sShr87pxoh.jpg,441,781,469,533,611.0,501.0,340,64
19xIMpjIltsvuPvyH9ZTeaSBXcZ9C8W.jpg,384,716,451,512,550.0,481.5,332,61
1abq6hspJpPXWU29BVhwpGmeKIX2yRB9.jpg,408,840,427,493,624.0,460.0,432,66
1aNtQPT4MBRzlr_yDpbwEi6Ok9kY_k7a.jpg,216,710,482,553,463.0,517.5,494,71
1aontdHlmFHLUTDkJBsB18Y3VqLK2.jpg,350,779,431,497,564.5,464.0,429,66
1BHPvjaGVfvHl5aTPv9uXPLRseCOhbP.jpg,402,872,475,545,637.0,510.0,470,70
1bTfVpOnVEJy9h9P_JnLrpz2Dx1ZQE.jpg,236,982,530,642,609.0,586.0,746,112
1BvGLfEaXBR7UEnzHD2sEFPPpbnDeEL.jpg,338,876,505,581,607.0,543.0,538,76
1bVOQ3hC8mOhWGVHfldZOB6xbXgp7.jpg,349,853,436,512,601.0,474.0,504,76
1C73pwmyVC145u5B71vClgpUhPoCc6.jpg,415,839,535,610,627.0,572.5,424,75
1cJ3pWDBkOzTJaodT232fE1SFTIVpU.jpg,371,971,530,616,671.0,573.0,600,86
1cVHEysp5yPpWWWPkBp2uzzuKoZ1O.jpg,453,897,465,533,675.0,499.0,444,68
1cYN_62zYqNnXiWYbMifOPXV13vQPj.jpg,418,904,447,521,661.0,484.0,486,74
1d1cp_e9DrhVh__wXQBHnBFQWr2UN5L.jpg,468,892,423,491,680.0,457.0,424,68
1d823GKbQbjq4pSnotUF3gYSp3regV.jpg,315,756,432,501,535.5,466.5,441,69
1Dhk87xcTU2iEvEfi4_adgfFtTmUJE.jpg,467,773,465,524,620.0,494.5,306,59
1dI6rkY5yfK6YcE27RefGcnIWyhyxV.jpg,379,880,489,564,629.5,526.5,501,75
1dIwfVO7QtJOiKFoI7nUhtWiX6xRwPzE.jpg,414,901,432,507,657.5,469.5,487,75
1dJ5Htx96qSS8D3dJE1EEhNi7FrxGk.jpg,393,902,457,531,647.5,494.0,509,74
1DRZYzqoBDzZjVefVMNqEdSFB_9ZdZBY.jpg,242,787,462,543,514.5,502.5,545,81
1dwcSh_j8blSogfKIWfSXvrUI_s4aNu.jpg,430,763,461,520,596.5,490.5,333,59
1Ee969ctY11plYqJVIaOQabyeJO831.jpg,531,830,421,480,680.5,450.5,299,59
1ewLBWDaBBwrfhKpGW6qqHvbjxsh15G.jpg,436,840,419,481,638.0,450.0,404,62
1F9W3Lf1M4UftoEay6Ni8YIBel6E59yB.jpg,336,898,486,565,617.0,525.5,562,79
1fLzjhjsiuPjXxrdNkQO5W9JZrtypey.jpg,441,716,425,478,578.5,451.5,275,53
1fYsTRg2s3HMWfwXDvCS4tKTyquBxTKx.jpg,378,665,430,482,521.5,456.0,287,52
1GKl2eBYkvyVsDFIDskOvNOfF7tfYCwY.jpg,447,994,490,578,720.5,534.0,547,88
1GkrhCT7cTjZ9MBrSFMsqfUVmpMGuSv.jpg,329,907,465,550,618.0,507.5,578,85
1Iit2Jn2wLy6zNeyzJYlMbmHCCtKb.jpg,406,924,455,534,665.0,494.5,518,79
1In21iI7NBlTLfvTbDDwT8v4vBDiJ.jpg,256,647,481,554,451.5,517.5,391,73
1Ip3Jbbwr3tOeRmjI5tmXpriLo2sp_.jpg,509,789,436,491,649.0,463.5,280,55
1iQqPUbxS_Lg4UadHzZ_617v3zISLa4.jpg,451,765,447,504,608.0,475.5,314,57
1iZrtUjde1uB43E8zZKUFg7UOKkHuy.jpg,450,907,471,543,678.5,507.0,457,72
1jfOG81Zs8gLSrX6SoK9h4VOcVo1yRyX.jpg,387,960,471,552,673.5,511.5,573,81
1Jl5OlizYql6FzPCrVXWPvf9WL9ckIX.jpg,453,749,430,487,601.0,458.5,296,57
1JrX6RYWJI4_fxzU1MTb8FtSSj4RTqSB.jpg,446,873,455,521,659.5,488.0,427,66
1JT8fWfFpDPIM196hJT1DBXgayd_KG.jpg,349,660,433,495,504.5,464.0,311,62
1Jwz1zITfz6lqVO2rxEWIagtydzB65.jpg,396,729,456,518,562.5,487.0,333,62
1jyDuRsMIp1WuS39HRbhMsSWwN4p8O.jpg,390,910,487,559,650.0,523.0,520,72
1kcRtUUhUp2_668_1FhZNGZbJLNyMD_.jpg,474,756,443,497,615.0,470.0,282,54
1KgkuFWSHhONsXVuvtJB5BQEedovWu.jpg,397,740,455,518,568.5,486.5,343,63
1kjdJoszot4iMufqxJGQQYDluV8m4Owu.jpg,420,1046,476,572,733.0,524.0,626,96
1KTaFSepCzgrBnl8UJzzg7gTz3vjn5K.jpg,197,1026,548,676,611.5,612.0,829,128
1KWsKuGZbKh_hmePMved2bSCH3VZj7.jpg,428,805,465,536,616.5,500.5,377,71
1l4VIwgIWWsyMrvsrgEr5KK56QN9UmBp.jpg,427,705,430,482,566.0,456.0,278,52
1LFHI85RpCmZHkqdt7wCIIVzFXRya5dz.jpg,399,852,434,506,625.5,470.0,453,72
1lMiXf9subsTdsD7w7n1ONs93KD4pW6j.jpg,412,732,445,505,572.0,475.0,320,60
1lw4HMpxFMruu3dkMhSrURw2LgWCcz7D.jpg,138,1004,566,703,571.0,634.5,866,137
1LYu_lVmeJx29VebQf8WjqQeWRTr.jpg,470,801,444,508,635.5,476.0,331,64
1mEn7JPFZlD1rpGYymmksgIt4HecSaD.jpg,447,940,444,519,693.5,481.5,493,75
1mkUtgZOOlCOU7baCuybxfVUVMBojMw7.jpg,361,782,452,514,571.5,483.0,421,62
1MTi4eIRX19bjNCOBorLynMlk6rj5.jpg,337,696,466,530,516.5,498.0,359,64
1N5oqnKWObZhXTySfqm6T8fPoq_IG3M.jpg,299,758,432,505,528.5,468.5,459,73
1n6TuI3UzQsrK3WoZDb8DK5tGNQE1.jpg,427,885,432,503,656.0,467.5,458,71
1N8LWZhg7gSgR9Krd8utsPEGJJPxYUR5.jpg,437,854,435,496,645.5,465.5,417,61
1ncTHgtCIKuD1mt8q66gEGyFJJ1bW81.jpg,323,868,465,551,595.5,508.0,545,86
1nsTJPDQwDZ5G6yBUJBxK9L7c3c2jC.jpg,402,729,452,511,565.5,481.5,327,59
1Nwnqf9T4DRYDzNtToVbIp5WdM9zw1vr.jpg,299,888,490,580,593.5,535.0,589,90
1o9FTHaKbuDIEeirIf4CvNwED71RTqk.jpg,442,896,432,503,669.0,467.5,454,71
1OdaCH6Iba24P3C5Tkwnk_gRSDf37.jpg,370,822,423,491,596.0,457.0,452,68
1OJvSJYojc4kmVYE9VBahnwPhS3QqPUs.jpg,347,872,500,574,609.5,537.0,525,74
1oK2t1cnOhMMvBj6KJCwFHfPPQwCo_M.jpg,325,746,451,515,535.5,483.0,421,64
1Osw621y1c5nED3NK6rS4ygDn8L2ibVm.jpg,455,915,462,540,685.0,501.0,460,78
1PC9qP3leFPEHdwUazppUw9uMB5Zd1K6.jpg,283,841,467,551,562.0,509.0,558,84
1pFhxktWevag3IY8X6lyomgvnEu5t.jpg,241,787,504,586,514.0,545.0,546,82
1PKPfYILqndw1VeVRHis4bPQMQ8shM9f.jpg,300,773,441,515,536.5,478.0,473,74
1Pm78eXpI5JJnsCwfDnSwco6XMuJEJ.jpg,399,704,435,490,551.5,462.5,305,55
1pobYbNXUiyfXsOFPOwuGH7WMVKjIb.jpg,496,810,433,493,653.0,463.0,314,60
1Prlw9xwJoWx6dngwHhEjM7x8uUhnRvF.jpg,416,915,450,528,665.5,489.0,499,78
1qERN6uzjvuqw7SylModwFkMn3YvK8QM.jpg,494,778,439,494,636.0,466.5,284,55
1qfTnm8vjOKUWdTGvGuVgXtCbsBLCQZ.jpg,293,773,430,511,533.0,470.5,480,81
