filename,xmin,xmax,ymin,ymax,xcentre,ycentre,w,h
11gUbGlva52ohWdflmiG=7xNmxuwRJf.jpg,464,943,493,569,703.5,531.0,479,76
11vx3ZS7ehiBrhcVweQrUFVvq62qX3iT.jpg,282,907,491,582,594.5,536.5,625,91
12kv=98gObhKtQsIIuwY3Q4WMCzkTW9E.jpg,277,838,486,566,557.5,526.0,561,80
12MvaNI5QRi2O3tRGJqb_c4zorHQPSx.jpg,350,1059,526,626,704.5,576.0,709,100
12oIvCFW4eLX5=b2tYPFNSBw4m9teDS.jpg,243,820,468,556,531.5,512.0,577,88
13Dp2pjD4ByNqO3XL6ZulVHX=pr5ytb.jpg,367,866,453,533,616.5,493.0,499,80
13fGgSR=OwtpZdaMtlOhQFct1ipuGZ8.jpg,344,878,469,543,611.0,506.0,534,74
13fv9Vo5tB7nessvTOZJ9fXG7BxX.jpg,315,777,457,523,546.0,490.0,462,66
13XOuK=avl589qZauvt5ZrE5OZ5smxF.jpg,257,782,457,533,519.5,495.0,525,76
146Rp5wXN1EKru29txC2EFJ9=O2BfZQ.jpg,495,980,476,552,737.5,514.0,485,76
14sw5nS76EZlkGZTvySzmNQ8U7EhsB.jpg,480,901,418,506,690.5,462.0,421,88
158euGpwKpNO_dwyfVCFF4G_RxFCFiQ.jpg,259,1042,547,662,650.5,604.5,783,115
15akW73QDxoD7=HsjHkgWKqT=xeDyiMo.jpg,374,831,420,486,602.5,453.0,457,66
15lsVd9RNIkLQc6nuLI13pzb2gdyNjYg.jpg,432,844,415,478,638.0,446.5,412,63
16JBeRQIXL4jBDXo8BqEVfWQC9mY8u8e.jpg,436,839,423,489,637.5,456.0,403,66
1716yKWZUj9rbvoxdYB=5HBEEX6ZDXX.jpg,341,870,465,549,605.5,507.0,529,84
17=N=UE24ude71_JquzlsExW5_ZSy.jpg,401,795,414,476,598.0,445.0,394,62
17iFWM5XsqaG2744nfd78msIF7BmZwE.jpg,466,886,420,501,676.0,460.5,420,81
17LMmWP4KQznIqJLCC5H_fWQS_FDWo.jpg,308,787,441,512,547.5,476.5,479,71
17Rzh_VJBVn1jMFUoWgP13OUWTM_GaT3.jpg,274,776,432,512,525.0,472.0,502,80
18ChTWcMWjvl441PVilYJ5HbSsdzHx.jpg,433,826,408,473,629.5,440.5,393,65
18HI=mqT9BScWKwOtQ52Y64XxfNzJV=K.jpg,377,790,422,488,583.5,455.0,413,66
18O7a_rIxYEsHD9=ZMzeHSYDquNRjO.jpg,338,825,453,525,581.5,489.0,487,72
194EsSnJesHBL7v3Fn5EfqhaHr1fxn=.jpg,353,942,484,582,647.5,533.0,589,98
1=6P__fsM8uZjaKbBps_oWXFUqX13RgQ.jpg,342,746,442,515,544.0,478.5,404,73
1=EUg5jegr2FgQPUL=PfVI6zkEEJr8.jpg,450,783,482,545,616.5,513.5,333,63
1=hbaVDMb4HBsUE3G1NsjsTcEyV81s5.jpg,449,856,416,483,652.5,449.5,407,67
